image_name,gt_xmin,gt_ymin,gt_xmax,gt_ymax,pred_xmin,pred_ymin,pred_xmax,pred_ymax,iou,gt_label,pred_label,error_xmin,error_ymin,error_xmax,error_ymax,truncated,occluded,right,down,forward
000000,712.4,143.0,810.73,307.92,706.6683,136.50409,808.0305,305.9282,0.8748953442894694,Pedestrian,Pedestrian,-5.7316999999999325,-6.495910000000009,-2.6995000000000573,-1.991800000000012,0.0,0,1.84,1.47,8.41
000002,657.39,190.13,700.07,223.39,659.1183,191.39598,701.73083,223.58823,0.8846069579998266,Car,Car,1.7282999999999902,1.2659800000000132,1.660829999999919,0.19823000000002367,0.0,0,3.18,2.27,34.38
000006,505.25,168.37,575.44,209.18,505.91495,169.03415,575.96533,210.7929,0.9308374808201901,Car,Car,0.6649499999999762,0.6641500000000065,0.5253299999999399,1.6128999999999962,0.0,0,-2.61,1.13,31.73
000006,49.7,185.65,227.42,246.96,39.076527,182.34161,230.32956,243.55775,0.8358523399881017,Car,Car,-10.623473000000004,-3.308390000000003,2.909559999999999,-3.4022500000000093,0.0,0,-12.54,1.64,19.72
000006,328.67,170.65,397.24,204.16,328.08826,171.85094,397.4718,204.79343,0.935565111545447,Car,Car,-0.5817400000000248,1.2009400000000028,0.23179999999996426,0.6334300000000042,0.0,1,-12.66,1.13,38.44
000007,564.62,174.59,616.43,224.74,564.1935,175.581,614.0834,224.2817,0.9197645107623627,Car,Car,-0.42650000000003274,0.9909999999999854,-2.3465999999999667,-0.45830000000000837,0.0,0,-0.69,1.69,25.01
000008,0.0,192.37,402.31,374.0,1.4602066,183.2839,408.90097,371.848,0.9228694965256092,Car,Car,1.4602066,-9.086100000000016,6.59096999999997,-2.151999999999987,0.88,3,-2.7,1.74,3.68
000008,334.85,178.94,624.5,372.04,336.52606,176.07578,617.0477,359.98465,0.8951624214310369,Car,Car,1.67605999999995,-2.864219999999989,-7.452300000000037,-12.055350000000033,0.0,1,-1.17,1.65,7.86
000008,937.29,197.39,1241.0,374.0,948.6619,202.04091,1240.0613,375.0,0.9291512405922367,Car,Car,11.371899999999982,4.65091000000001,-0.9386999999999261,1.0,0.34,3,3.81,1.64,6.15
000008,597.59,176.18,720.9,261.14,601.3569,176.84119,720.4715,262.27048,0.9462961784339242,Car,Car,3.766899999999964,0.6611900000000048,-0.42849999999998545,1.1304800000000341,0.0,1,1.07,1.55,14.44
000008,741.18,168.83,792.25,208.43,737.5003,167.81447,786.40796,207.2506,0.7850696705703955,Car,Car,-3.6796999999999116,-1.0155300000000125,-5.842039999999997,-1.1794000000000153,0.0,0,7.24,1.55,33.2
000008,884.52,178.31,956.41,240.18,885.7706,178.047,955.33167,238.98903,0.9450910137934367,Car,Car,1.250599999999963,-0.26300000000000523,-1.0783299999999372,-1.190969999999993,0.0,0,8.48,1.75,19.96
000009,601.96,177.01,659.15,229.51,604.14923,176.77689,658.06696,229.80392,0.9339433787011348,Car,Car,2.1892299999999523,-0.23310999999998216,-1.0830399999999827,0.29392000000001417,0.0,0,0.7,1.76,23.88
000010,1013.39,182.46,1241.0,374.0,1000.59296,193.55333,1242.0,375.0,0.8865469806095947,Car,Car,-12.797040000000038,11.09332999999998,1.0,1.0,0.8,0,4.43,1.65,5.2
000010,354.43,185.52,549.52,294.49,361.1572,186.69185,549.66425,296.63538,0.936631314600788,Car,Car,6.727199999999982,1.1718499999999779,0.1442500000000564,2.1453799999999887,0.0,0,-2.39,1.66,11.8
000010,819.63,178.12,926.85,251.56,820.203,180.73247,925.2398,254.35356,0.9108476605884822,Car,Car,0.5729999999999791,2.612470000000002,-1.6102000000000771,2.793559999999985,0.0,0,5.85,1.64,16.5
000010,558.55,179.04,635.05,230.61,559.21014,178.32878,631.1377,230.07419,0.9185497318753735,Car,Car,0.6601400000000694,-0.7112199999999973,-3.9122999999999593,-0.5358100000000263,0.0,0,-0.38,1.76,23.64
000010,663.74,175.36,707.21,204.15,662.6559,173.26573,705.70306,202.97598,0.8448947578992443,Car,Car,-1.084100000000035,-2.094270000000023,-1.506939999999986,-1.174020000000013,0.0,1,4.5,1.8,42.85
000011,883.68,144.15,937.35,259.01,885.40094,153.19475,935.1264,254.69966,0.8187766570352193,Pedestrian,Pedestrian,1.7209400000000414,9.044749999999993,-2.223600000000033,-4.3103399999999965,0.0,1,5.06,1.43,12.42
000011,444.29,171.04,504.95,225.82,444.56323,176.2103,504.86313,224.34087,0.8733999505328823,Car,Car,0.27322999999995545,5.1702999999999975,-0.08686999999997624,-1.4791299999999978,0.0,0,-4.95,1.83,26.64
000015,0.0,194.7,414.71,373.0,0.0,191.69606,406.88196,371.88406,0.9591293465708125,Car,Car,0.0,-3.00394,-7.828039999999987,-1.1159400000000232,0.89,0,-2.75,1.7,4.1
000016,684.49,172.19,733.85,205.26,686.0716,172.63646,733.7171,206.22948,0.9260293597506003,Car,Car,1.5815999999999804,0.44646000000000186,-0.1329000000000633,0.9694800000000043,0.0,0,4.58,1.41,33.13
000016,0.0,193.56,386.2,374.0,0.0,193.84943,394.4346,375.0,0.9721971233754102,Car,Car,0.0,0.28943000000001007,8.2346,1.0,0.5,0,-3.67,1.67,6.05
000019,742.41,184.49,944.56,321.39,743.3897,184.11278,939.87915,312.93964,0.9095641304494175,Car,Car,0.9796999999999798,-0.37722000000002254,-4.680849999999964,-8.45035999999999,0.0,0,2.84,1.63,9.72
000020,685.05,181.43,804.68,258.21,681.73016,181.57243,804.7825,261.88812,0.9260692287405247,Car,Car,-3.3198399999999992,0.1424299999999903,0.10250000000007731,3.6781200000000354,0.0,0,2.69,1.6,15.58
000021,359.43,179.3,516.3,270.97,364.18332,178.25648,510.71478,274.3532,0.8937789940585283,Car,Car,4.753319999999974,-1.043520000000001,-5.585219999999936,3.383199999999988,0.0,0,-3.03,1.57,13.3
000021,444.13,163.92,559.2,247.04,455.63126,162.78012,552.0988,244.16138,0.8001059145955854,Car,Car,11.501260000000002,-1.1398799999999767,-7.101200000000063,-2.8786199999999837,0.0,1,-2.52,1.61,17.6
000021,724.49,171.09,790.5,215.13,722.87164,169.93379,788.66895,213.6976,0.8959410776202565,Car,Car,-1.6183600000000524,-1.1562100000000157,-1.8310500000000047,-1.4324000000000012,0.0,0,5.18,1.42,25.97
